Cov,CLF17,CLG17,CLH17,CLJ17,CLK17,CLM17,CLN17,CLQ17,CLU17,CLZ17,CSZ16,CSF17,CSG17,CSH17,CSJ17,CSK17,CSM17,CSN17,CSQ17,CSU17,CSV17,CSX17,CSZ17,WBSF17,WBSG17,WBSH17,WBSJ17,WBSK17,WBSM17,WBSN17,WBSQ17,WBSU17,WBSZ17,WSPZ16,WSPF17,WSPG17,WSPH17,WSPJ17,WSPK17,WSPM17,0
CSZ16,2.96183e-05,1.44068e-05,3.6545e-05,-0.000770473,0.00307101,-0.000823266,0.0026312,-0.000264742,0.0116912,-0.000884146,0.0008646,-0.000956557,-0.000647886,-0.000116007,-6.86024e-05,0.000208236,-0.000836395,-0.000533232,1.83649e-05,6.32134e-05,0.000131517,-4.76945e-05,1.57328e-05,0.000192677,-8.27551e-05,3.0224e-05,-0.00112849,-0.000196581,0.000471654,0.000464403,0.000576427,0.000573524,0.000815939,0.000845346,1.37369e-05,3.74597e-05,1.21718e-05,1.04356e-05,-2.65369e-05,-1.20923e-05,0
CSF17,-6.53625e-05,-2.82613e-05,2.55725e-05,0.000176268,-0.00587977,0.00157865,-0.00530587,0.000537605,-0.0226287,0.00168701,-0.000956557,0.0022633,0.00121606,0.000211991,0.000137102,-0.000545611,0.00154179,0.00104061,-3.31725e-05,-0.000110975,-0.000289069,0.000118947,-3.67002e-05,-0.000343327,7.7773e-05,-0.000123844,0.00201947,0.000446767,-0.000875339,-0.000875307,-0.00112648,-0.00110382,-0.00149466,-0.00155877,-5.15336e-05,2.22845e-05,0.000122205,0.000200648,2.61162e-05,-4.31599e-05,0
CSG17,5.49989e-06,-6.75325e-05,-8.85819e-05,0.000333974,-0.00416355,0.0010223,-0.00373949,0.000530611,-0.0158711,0.00117773,-0.000647886,0.00121606,0.00119729,0.000192193,6.91745e-05,-0.000369422,0.00108698,0.0007549,-2.22678e-05,-4.27461e-05,-0.000150797,7.0058e-05,-2.76648e-05,-0.000261721,7.51039e-05,-0.000116218,0.00141924,0.000315375,-0.000616489,-0.00060428,-0.000775031,-0.000761785,-0.00105166,-0.00109069,2.30799e-06,-5.95074e-05,-0.000105504,-0.000111429,3.00954e-07,-5.99149e-05,0
CSH17,2.20831e-05,-5.74233e-05,-6.74476e-05,-6.86124e-05,-0.000813771,0.000164989,-0.000601193,0.000133394,-0.00376388,0.000197533,-0.000116007,0.000211991,0.000192193,0.000316175,2.24564e-05,-5.52849e-05,0.000276437,0.000155485,-1.88246e-05,-4.34032e-06,-2.71816e-05,1.91222e-05,-1.09926e-05,-4.19589e-05,9.3806e-06,5.4846e-06,0.000252107,5.15474e-05,-0.000118739,-0.000137206,-0.000151108,-4.35842e-05,-0.000188546,-0.000204287,1.51384e-06,-1.24624e-05,-7.18771e-05,-9.55761e-05,-6.37361e-06,-5.22931e-08,0
CSJ17,2.77233e-05,-8.48944e-07,8.42888e-05,-0.000280604,-0.00032572,9.63002e-05,-0.000715236,2.06099e-05,-0.000517425,0.000134211,-6.86024e-05,0.000137102,6.91745e-05,2.24564e-05,0.00016106,-1.49694e-05,4.80966e-05,4.12882e-05,1.52192e-05,-1.54171e-05,-2.08292e-05,1.40355e-05,-5.40443e-06,-6.13067e-06,-1.78846e-05,1.06841e-05,9.54524e-05,6.57792e-05,-4.87837e-05,-3.29228e-05,-3.35397e-05,4.89205e-05,-8.15726e-05,-8.19262e-05,2.76186e-05,4.00171e-06,9.31823e-05,0.000132039,-1.26219e-05,1.40637e-05,0
CSK17,2.80151e-05,5.97536e-05,7.38627e-05,0.00159454,0.00186274,-0.000265203,0.00269804,-0.000486403,0.00899486,-0.000594041,0.000208236,-0.000545611,-0.000369422,-5.52849e-05,-1.49694e-05,0.000676951,-0.000635543,-0.00041326,2.57716e-05,6.05658e-06,6.65819e-05,-7.43509e-05,4.21917e-05,0.000137108,5.15367e-05,9.56812e-05,-0.000409871,-0.000285644,0.000242071,0.000274155,0.000374107,0.00044724,0.000417187,0.000435213,1.23127e-05,3.6215e-05,7.72989e-05,9.59779e-05,-2.49046e-05,3.41575e-05,0
CSM17,4.56019e-06,-5.81857e-05,-0.000125952,-0.000472365,-0.00519075,0.001266,-0.0047656,0.000697779,-0.0222307,0.00147582,-0.000836395,0.00154179,0.00108698,0.000276437,4.80966e-05,-0.000635543,0.00172252,0.000968275,-6.5044e-05,-8.89964e-05,-0.000207661,0.000116034,-6.48597e-05,-0.000335436,6.66585e-05,-0.000111481,0.00172265,0.000412521,-0.000758261,-0.000800378,-0.00100527,-0.00103499,-0.00128669,-0.0013421,-1.32372e-05,-4.42321e-05,-0.000115286,-0.000166402,2.36986e-05,-4.77318e-05,0
CSN17,-4.92036e-06,-3.4337e-05,-8.58636e-05,-0.000487802,-0.00353791,0.000835807,-0.00333675,0.000610082,-0.0143712,0.00102463,-0.000533232,0.00104061,0.0007549,0.000155485,4.12882e-05,-0.00041326,0.000968275,0.000727886,-2.00997e-05,-5.19444e-05,-0.000121168,7.40944e-05,-3.75785e-05,-0.000239236,2.65016e-05,-5.83734e-05,0.00114382,0.000298525,-0.000510775,-0.000530362,-0.000687368,-0.000686262,-0.000876266,-0.000914025,-8.53461e-06,-4.2133e-05,-7.31161e-05,-0.000103001,1.36731e-05,-2.44637e-05,0
CSQ17,3.45474e-05,-1.43505e-06,7.97216e-05,4.80573e-05,8.84005e-05,-2.49227e-05,8.96506e-06,-6.04562e-05,0.000695653,-2.44905e-05,1.83649e-05,-3.31725e-05,-2.22678e-05,-1.88246e-05,1.52192e-05,2.57716e-05,-6.5044e-05,-2.00997e-05,8.98799e-05,9.45351e-07,8.16288e-07,-1.00914e-06,9.32729e-07,1.28605e-05,-8.71391e-06,-5.65373e-06,-2.30462e-05,2.2401e-06,8.55797e-06,1.50116e-05,1.07034e-05,3.40658e-05,2.03356e-05,2.10661e-05,3.04866e-05,2.15115e-06,6.33718e-05,8.91067e-05,1.03892e-06,1.01567e-05,0
CSU17,2.53381e-05,-1.94677e-05,-4.76384e-05,-0.000222651,0.000291504,-0.000160369,0.000282209,8.34413e-05,0.00138954,-5.68698e-05,6.32134e-05,-0.000110975,-4.27461e-05,-4.34032e-06,-1.54171e-05,6.05658e-06,-8.89964e-05,-5.19444e-05,9.45351e-07,0.000110951,2.33728e-05,-5.6251e-06,4.79407e-06,1.58499e-05,-1.09089e-05,-6.05917e-06,-0.000107005,-9.89489e-06,4.26332e-05,5.54874e-05,7.76367e-05,6.4621e-05,9.17431e-05,8.98583e-05,1.51027e-05,7.44807e-06,-4.46404e-05,-7.27527e-05,-1.53105e-05,-2.08459e-05,0
